ISBN,EDITORIAL,TITULO,AUTOR/COLABORADOR,FORMATO,SEMESTRE,AÑO
978-9945-22-051-3,"EDITORA BUHO, S.R.L. ",UNA VIDA DE LUZ,"HICIANO, EUDALDO ANTONIO (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-494-58-7,VICEPRESIDENCIA DE LA REPUBLICA DOMINICANA ,PLAN DE ACCION PARA EL ABORDAJE DEL OBJETIVO DE DESARROLLO SOSTENIBLE ODS 1,"HERAZO, MILENA (COORDINADOR EDITORIAL); PEREZ, MERIAN (DISEÑADOR)",DIGITAL,JULIO-DICIEMBRE,2020
978-9945-617-66-5,EDITORIAL SANTUARIO ,VIVIR PARA SOÑAR,JUANA MARIA JEREZ (AUTOR),IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-380-3,"MORALES, EDILIA SOCORRO ",UNIVERSIDAD DEL DESIERTO,"MORALES, EDILIA SOCORRO (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9237-0-4,"COMUNICACIONES INTEGRADAS, SRL ",CONCEPTOS DE SEGUROS Y FIANZAS,"BALLISTA, FERNANDO BALLISTA DIAZ (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-617-67-2,EDITORIAL SANTUARIO ,A CUALQUIERA LE PUEDE PASAR,"MONTERO, JENNY (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-621-30-3,MINISTERIO DE SALUD PUBLICA Y ASISTENCIA SOCIAL (MSPAS) ,GUIA DE LA PROFILAXIS PREEXPOSICION (PREP) AL VIH EN LA REPUBLICA DOMINICANA,"MINISTERIO DE SALUD PUBLICA Y ASISTENCIA SOCIAL (AUTOR); DE LA ROSA, ANDELYS-REPUBLICA DOMINICANA (COORDINADOR EDITORIAL); LEDESMA, JOSE A. (EDITOR LITERARIO); CAMINERO, LUIS G. (EDITOR LITERARIO); CABALLERO VAILLENT, TESSIE (EDITOR LITERARIO)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-621-31-0,MINISTERIO DE SALUD PUBLICA Y ASISTENCIA SOCIAL (MSPAS) ,ESTRATEGIA NACIONAL PARA LA IMPLEMENTACION DE LA PROFILAXIS PRE-EXPOSICION (PREP) EN LA REPUBLICA DOMINICANA,"MINISTERIO DE SALUD PUBLICA Y ASISTENCIA SOCIAL (AUTOR); DE LA ROSA, ANDELYS-REPUBLICA DOMINICANA (COORDINADOR EDITORIAL); LEDESMA, JOSE A. (EDITOR LITERARIO); CAMINERO, LUIS G. (EDITOR LITERARIO)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-381-0,"RAMIREZ DILONE, YUDIAN ALTAGRACIA ",7 KEYS TO SUCCESSFUL ENTREPRENEURSHIP,"INFO DE VIDA (AUTOR); WRITERS, EXTREME (TRADUCTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-22-052-0,"EDITORA BUHO, S.R.L. ",LA FIESTA DE SOFIA FLORES,"REYNOSO, ANTONIO (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-385-8,"SANCHEZ SANCHEZ, DESIREE ALTAGRACIA ",COSMOPOLITAN CREED,"SANCHEZ SANCHEZ, DESIREE ALTAGRACIA (AUTOR); SANCHEZ SANCHEZ, GRISEL (ILUSTRADOR)",DIGITAL,JULIO-DICIEMBRE,2020
978-9945-09-384-1,"SANTANA, AMADO ",EN BUSCA DE LOS DIOSES ,"QUEZADA, LONNI (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9233-5-3,INSTITUTO NACIONAL DE TRANSITO Y TRANSPORTE TERRESTRE ,"CUADERNO DE ACTIVIDADES DEL ALUMNO, PROGRAMA DE EDUCACION VIAL IV",INSTITUTO UNIVERSITARIO DE TRAFICO Y SEGURIDAD VIAL DE LA UNIVERSIDAD DE VALENCIA (AUTOR),IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9233-6-0,INSTITUTO NACIONAL DE TRANSITO Y TRANSPORTE TERRESTRE ,"CUADERNO DEL PROFESOR, PROGRAMA DE EDUCACION VIAL IV ",INSTITUTO UNIVERSITARIO DE TRAFICO Y SEGURIDAD VIAL DE LA UNIVERSIDAD DE VALENCIA (AUTOR),IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9233-7-7,INSTITUTO NACIONAL DE TRANSITO Y TRANSPORTE TERRESTRE ,"CUADERNO DE ACTIVIDADES DEL ALUMNO, PROGRAMA DE EDUCACION VIAL I",INSTITUTO UNIVERSITARIO DE TRAFICO Y SEGURIDAD VIAL DE LA UNIVERSIDAD DE VALENCIA (AUTOR),DIGITAL,JULIO-DICIEMBRE,2020
978-9945-9233-8-4,INSTITUTO NACIONAL DE TRANSITO Y TRANSPORTE TERRESTRE ,"CUADERNO DEL PROFESOR, PROGRAMA DE EDUCACION VIAL I",INSTITUTO UNIVERSITARIO DE TRAFICO Y SEGURIDAD VIAL DE LA UNIVERSIDAD DE VALENCIA (AUTOR),DIGITAL,JULIO-DICIEMBRE,2020
