ISSN,TITULO,INSTITUCION,SOPORTE,SEMESTRE,AÑO
2737-6508,INGENIUM,INSTITUTO POLITECNICO LOYOLA,DIGITAL,JULIO-DICIEMBRE,2020
2737-6516,HORMONAS ,GRUPO LFY,IMPRESO,JULIO-DICIEMBRE,2020
2737-6524,BOLETIN INFORMATIVO OPSEVI,INSTITUTO NACIONAL DE TRANSITO (INTRANT),IMPRESO,JULIO-DICIEMBRE,2020
2737-6532,CIUDAD LOYOLA,INSTITUTO POLITECNICO LOYOLA,DIGITAL,JULIO-DICIEMBRE,2020
2737-6540,MEMORIA DE GESTION,INSTITUTO DOMINICANO DE AVIACION (IDAC),IMPRESO,JULIO-DICIEMBRE,2020
2737-6559,HORMONAS,GRUPO LFY,DIGITAL,JULIO-DICIEMBRE,2020
2737-6567,MEMORIA DE UNA TRANSFORMACION,INSTITUTO SUPERIOR DE FORMACION DOCENTE (ISFODOSU),IMPRESO,JULIO-DICIEMBRE,2020
2737-6575,DERECHO Y JUSTICIA SOCIAL,DEFENSOR DEL PUEBLO,IMPRESO,JULIO-DICIEMBRE,2020
2737-6583,BOLETIN OBSERVATORIO MIPYMES,MINISTERIO DE INDUSTRIA Y COMERCIO Y MIPYMES,DIGITAL,JULIO-DICIEMBRE,2020
2737-6591,REVISTA LITERARIA LITERAZGO,VERITE EDITORIALGROUP,IMPRESO,JULIO-DICIEMBRE,2020
2737-6605,REPORTE DE INVESTIGACION DEL PROGRAMA ECOMAR,"PROGRAMA ECOMAR, INC.",DIGITAL,JULIO-DICIEMBRE,2020
2737-6613,MEMORIA DE UNA TRANSFORMACION,INSTITUTO SUPERIOR DE FORMACION DOCENTE (ISFODOSU),DIGITAL,JULIO-DICIEMBRE,2020
2737-6621,BOLETIN INSTITUTO DUARTIANO,EDITORA BUHO,IMPRESO,JULIO-DICIEMBRE,2020
2737-663X,PAGINAS DUARTIANAS,EDITORA BUHO,DIGITAL,JULIO-DICIEMBRE,2020
2737-6648,DERECHO Y JUSTICIA SOCIAL,DEFENSOR DEL PUEBLO,DIGITAL,JULIO-DICIEMBRE,2020
2737-6656,BOLETIN INFORMATIVO OPSEVI,INSTITUTO NACIONAL DE TRANSITO Y TRANSPORTE TERRESTRE (INTRANT),DIGITAL,JULIO-DICIEMBRE,2020
2737-6664,RD SOSTENIBLE,"DISRUPCION SOSTENIBLE, E.I.R.L.",DIGITAL,JULIO-DICIEMBRE,2020
2737-6672,RD SOSTENIBLE,"DISRUPCION SOSTENIBLE, E.I.R.L.",IMPRESO,JULIO-DICIEMBRE,2020
2737-6680,REVISTA CIENTIFICA EL CAPACHO,COTOY FONDO EDITORIAL,DIGITAL,JULIO-DICIEMBRE,2020
2737-6699,MUNICIPIOS AL DIA (PERIODICO),FUNDACION MUNICIPIOS AL DIA,DIGITAL,JULIO-DICIEMBRE,2020
2737-6702,MEMORIA INSTITUCIONAL,INSTITUTO POLITECNICO LOYOLA,DIGITAL,JULIO-DICIEMBRE,2020
2737-6710,MEMORIA INSTITUCIONAL,INSTITUTO POLITECNICO LOYOLA,IMPRESO,JULIO-DICIEMBRE,2020
2737-6729,OXFAM EN REPUBLICA DOMINICANA,OXFAM EN REPUBLICA DOMINICANA,DIGITAL,JULIO-DICIEMBRE,2020
2737-6737,INFORME DE EJECUCION,INSTITUTO DE FORMACION DOCENTE SALOME UREÑA (ISFODOSU),IMPRESO,JULIO-DICIEMBRE,2020
